ID,riesgo,categoría,subcategoría,tipo_riesgo,objetivo_alcance,objetivo_cronograma,objetivo_costos,objetivo_calidad,tipo_impacto,probabilidad,valor_probabilidad,impacto_alcance,impacto_cronograma,impacto_costos,impacto_calidad,valor_alcance,valor_cronograma,valor_costos,valor_calidad,puntuacion_alcance,puntuacion_cronograma,puntuacion_costos,puntuacion_calidad,valoracion_global,prioridad_riesgo,dueño,responsable,plan_respuesta_predet,estrategia_respuesta,plan_respuesta_adapt,riesgo_residual,riesgo_activado,fecha_activacion,proyecto
FM-R01,Sistema SAP podría no estar disponible,Riesgo técnico,Tecnología,Amenaza,1,1,,,Directo,Baja,0.30,Bajo,Bajo,,,0.10,0.10,0.00,0.00,0.03,0.03,0.00,0.00,0.06,Moderada,,,,,,,,,Farmacia
FM-R02,Conectividad de soluciones con SAP podría ser ineficiente,Riesgo técnico,Procesos técnicos,Amenaza,1,1,,,Directo,Media,0.50,Bajo,Bajo,,,0.10,0.10,0.00,0.00,0.05,0.05,0.00,0.00,0.10,Moderada,,,,,,,,,Farmacia
FM-R03,Personal a cargo del sistema SAP podría ser insuficiente,Riesgo de gestión,Dotación de recursos,Oportunidad,,,1,,Directo,Baja,0.30,,,Bajo,,0.00,0.00,0.10,0.00,0.00,0.00,0.03,0.00,0.03,Baja,,,,,,,,,Farmacia
FM-R04,Administrador sistema SAP podría no estar disponible,Riesgo de gestión,Dotación de recursos,Oportunidad,,1,,,Indirecto,Baja,0.30,,Moderado,,,0.00,0.20,0.00,0.00,0.00,0.06,0.00,0.00,0.06,Moderada,,,,,,,,,Farmacia
FM-R05,Podrían existir problemas en la integración con los servicio de SAP,Riesgo técnico,Procesos técnicos,Oportunidad,1,1,1,1,Directo,Baja,0.30,Alto,Moderado,Moderado,Alto,0.40,0.20,0.20,0.40,0.12,0.06,0.06,0.12,0.36,Alta,,,,,,,,,Farmacia
FM-R06,Fallas de seguridad en la Api de SAP podrían comprometer la información de los clientes,Riesgo técnico,Seguridad,Amenaza,,,,1,Directo,Muy baja,0.10,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.02,0.02,Baja,,,,,,,,,Farmacia
FM-R07,Cliente podría no permitir acceder a los datos de ubicación,Riesgo técnico,Procesos técnicos,Amenaza,,,,1,Indirecto,Muy alta,0.90,,,,Muy bajo,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.05,0.05,Baja,,,,,,,,,Farmacia
FM-R08,Extracción de ofertas del sistema SAP podrían ser inexactas,Riesgo técnico,Procesos técnicos,Amenaza,,,,1,Directo,Alta,0.70,,,,Bajo,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.07,0.07,Moderada,,,,,,,,,Farmacia
FM-R09,Región actual del cliente podría no tener ofertas disponibles,Riesgo comercial,Estabilidad de los clientes,Amenaza, -,,,1,Directo,Media,0.50,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.10,0.10,Moderada,,,,,,,,,Farmacia
FM-R10,Página de venta de medicamentos podría tener productos mal expuestos,Riesgo técnico,Interfaces técnicas,Amenaza,,,,1,Directo,Baja,0.30,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.06,0.06,Moderada,,,,,,,,,Farmacia
FM-R11,Página de venta de medicamentos podría tener problemas de actualización de stock,Riesgo técnico,Procesos técnicos,Amenaza,,,,1,Directo,Alta,0.70,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.14,0.14,Moderada,,,,,,,,,Farmacia
FM-R12,Página de ventas de medicamentos podría perder conectividad mientras cliente esta realizando una compra,Riesgo técnico,Interfaces técnicas,Oportunidad,,,,1,Directo,Alta,0.70,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.14,0.14,Moderada,,,,,,,,,Farmacia
FM-R13,Contenido de productos desplegados podría ser confuso para los clientes,Riesgo técnico,Interfaces técnicas,Amenaza,,,1,1,Directo,Baja,0.30,,,Muy bajo,Bajo,0.00,0.00,0.05,0.10,0.00,0.00,0.01,0.03,0.05,Baja,,,,,,,,,Farmacia
FM-R14,Contenido de formas de pago podría ser confuso para los clientes,Riesgo técnico,Interfaces técnicas,Amenaza,,,1,1,Directo,Baja,0.30,,,Muy bajo,Bajo,0.00,0.00,0.05,0.10,0.00,0.00,0.01,0.03,0.05,Baja,,,,,,,,,Farmacia
FM-R15,Despliegue de información de final de compra podría ser confusa para los clientes,Riesgo técnico,Interfaces técnicas,Amenaza,,,1,1,Directo,Baja,0.30,,,Muy bajo,Bajo,0.00,0.00,0.05,0.10,0.00,0.00,0.01,0.03,0.05,Baja,,,,,,,,,Farmacia
FM-R16,Conectividad con pasarela de pagos podría perder la conexión antes de realizar el pago,Riesgo externo,Conectividad,Amenaza,,,,1,Directo,Alta,0.70,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.14,0.14,Moderada,,,,,,,,,Farmacia
FM-R17,Pasarela de pagos del cliente podría no estar disponible al momento de la compra,Riesgo externo,Conectividad,Amenaza,,,,1,Directo,Alta,0.70,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.14,0.14,Moderada,,,,,,,,,Farmacia
