id,tipo,titulo,incorporada,lanzamiento,publico,duracion
81145628,Pelicula,Norm of the North: King Sized Adventure,"September 9, 2019",2019,infantil,90 min
80117401,Pelicula,Jandino: Whatever it Takes,"September 9, 2016",2016,Adulto,94 min
70234439,Serie,Transformers Prime,"September 8, 2018",2013,infantil,1 Season
80058654,Serie,Transformers: Robots in Disguise,"September 8, 2018",2016,infantil,1 Season
80125979,Pelicula,#realityhigh,"September 8, 2017",2017,Adolecente,99 min
80163890,Serie,Apaches,"September 8, 2017",2016,Adulto,1 Season
70304989,Pelicula,Automata,"September 8, 2017",2014,Adulto,110 min
80164077,Pelicula,Fabrizio Copano: Solo pienso en mi,"September 8, 2017",2017,Adulto,60 min
80117902,Serie,Fire Chasers,"September 8, 2017",2017,Adulto,1 Season
70304990,Pelicula,Good People,"September 8, 2017",2014,Adulto,90 min
80169755,Pelicula,Joaquín Reyes: Una y no más,"September 8, 2017",2017,Adulto,78 min
70299204,Pelicula,Kidnapping Mr. Heineken,"September 8, 2017",2015,Adulto,95 min
80182480,Pelicula,Krish Trish and Baltiboy,"September 8, 2017",2009,infantil,58 min
80182483,Pelicula,Krish Trish and Baltiboy: Battle of Wits,"September 8, 2017",2013,infantil,62 min
80182596,Pelicula,Krish Trish and Baltiboy: Best Friends Forever,"September 8, 2017",2016,infantil,65 min
80182482,Pelicula,Krish Trish and Baltiboy: Comics of India,"September 8, 2017",2012,infantil,61 min
80182597,Pelicula,Krish Trish and Baltiboy: Oversmartness Never Pays,"September 8, 2017",2017,infantil,65 min
80182481,Pelicula,Krish Trish and Baltiboy: Part II,"September 8, 2017",2010,infantil,58 min
80182621,Pelicula,Krish Trish and Baltiboy: The Greatest Trick,"September 8, 2017",2013,infantil,60 min
80057969,Pelicula,Love,"September 8, 2017",2015,Adulto,135 min
80060297,Pelicula,Manhattan Romance,"September 8, 2017",2014,Adolecente,98 min
80046728,Pelicula,Moonwalkers,"September 8, 2017",2015,Adulto,96 min
80046727,Pelicula,Rolling Papers,"September 8, 2017",2015,Adulto,79 min
70304988,Pelicula,Stonehearst Asylum,"September 8, 2017",2014,Adolecente,113 min
